WannaSurf Spot List — Central America (Geocoded Only)
Scraped: 2026-04-27  |  Total geocoded: 459
======================================================================

Name                                                        Lat          Lon  URL
## Martinique
Basse Pointe Le Chaudron                              14.869976   -61.116598  https://wannasurf.com/spot/Central_America/Martinique/BASSE_POINTE_LE_CHAUDRON/index.html
Monsieur Slabby                                       14.871299   -61.186423  https://wannasurf.com/spot/Central_America/Martinique/Monsieur_Slabby/index.html
Tomate                                                14.829813   -61.226606  https://wannasurf.com/spot/Central_America/Martinique/Tomate/index.html
Anse Charpentier Right                                14.807828   -61.014740  https://wannasurf.com/spot/Central_America/Martinique/anse_charpentier_right/index.html
Anse Couleuvre                                        14.844004   -61.219468  https://wannasurf.com/spot/Central_America/Martinique/anse_couleuvre/index.html
Anse Trabaud                                          14.406667   -60.848722  https://wannasurf.com/spot/Central_America/Martinique/anse_trabaud/index.html
Diams                                                 14.478439   -61.027465  https://wannasurf.com/spot/Central_America/Martinique/diams/index.html
Pelle A Tarte                                         14.773990   -60.893998  https://wannasurf.com/spot/Central_America/Martinique/pelle_a_tarte/index.html
Petite Anse                                           14.487207   -61.083641  https://wannasurf.com/spot/Central_America/Martinique/petite_anse/index.html
Tartane                                               14.770857   -60.899867  https://wannasurf.com/spot/Central_America/Martinique/tartane/index.html

## Mexico/Baja_Norte
3 Emes                                                31.897257  -116.713713  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/3_emes/index.html
L 2870                                                28.703600  -114.289434  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/L_2870/index.html
Salsipuedes                                           31.976829  -116.790590  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/Salsipuedes/index.html
Spot2                                                 29.195964  -114.783547  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/Spot2/index.html
Terasa Strailerpark                                   32.260634  -116.991865  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/Terasa_sTrailerPark/index.html
Alisitos                                              32.119226  -116.882915  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/alisitos/index.html
Baja Malibu                                           32.419503  -117.095750  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/baja_malibu/index.html
Calafia                                               32.267666  -117.019329  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/calafia/index.html
Five Spot                                             29.134482  -114.731223  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/five_spot/index.html
Four Spot                                             29.181633  -114.752862  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/four_spot/index.html
K-181                                                 31.258559  -116.374531  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/k-181/index.html
K38                                                   32.258939  -116.986349  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/k38/index.html
La Fonda                                              32.165950  -116.904531  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/la_fonda/index.html
Las Gaviotas                                          32.252447  -116.962337  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/las_gaviotas/index.html
Las Salinas Marina                                    32.056827  -116.882429  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/las_salinas_marina/index.html
More                                                  29.110163  -114.713102  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/more/index.html
Mushrooms                                             32.268086  -117.023390  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/mushrooms/index.html
Punta Baja                                            29.953001  -115.754700  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/punta_baja/index.html
Punta Cabras                                          31.347553  -116.457396  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/punta_cabras/index.html
Punta San Carlos                                      29.614244  -115.499740  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/punta_san_carlos/index.html
Punta San Jose                                        31.463884  -116.590691  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/punta_san_jose/index.html
Quatro Casas                                          30.933501  -116.242218  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/quatro_casas/index.html
Raul S                                                32.247796  -116.948827  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/raul_s/index.html
San Miguel                                            31.900659  -116.730321  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/san_miguel/index.html
Stack S                                               31.892671  -116.696681  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/stack_s/index.html
Staks                                                 31.892553  -116.696659  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/staks/index.html
Three Spot                                            29.194313  -114.775050  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/three_spot/index.html
Todos Santos                                          31.808947  -116.809688  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/todos_santos/index.html
Zpot01                                                29.209360  -114.801155  https://wannasurf.com/spot/Central_America/Mexico/Baja_Norte/zpot01/index.html

## Mexico/Baja_Sur
La Fortuna                                            23.144148  -109.506311  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/La_Fortuna/index.html
Punta Conejo                                          24.074296  -111.007780  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/Punta_Conejo/index.html
Ship Wrecks                                           23.119453  -109.528067  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/Ship_Wrecks/index.html
Terranova                                             23.155615  -109.493071  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/Terranova/index.html
The Estuary                                           23.047996  -109.682178  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/The_Estuary/index.html
Costa Azul                                            23.015126  -109.716940  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/costa_azul/index.html
Isla Natividad                                        27.857546  -115.160784  https://wannasurf.com/spot/Central_America/Mexico/Baja_Sur/isla_natividad/index.html
